Username,Display Name,Week1,Week2,Total
jadelessbarukan,jadeless,5.0,7.0,12.0
static_25,Static,4.0,6.0,10.0
maverick7749,Mav,7.0,2.0,9.0
thewebshooter,TheWebShooter,4.0,5.0,9.0
khanatfarm,KHANatFARM,3.0,6.0,9.0
thefarzi,Farzi,3.0,6.0,9.0
light_itachi_op,Monkey Uzumaki,3.0,6.0,9.0
roarycat,RoaryCat,2.0,7.0,9.0
crazybats_v,Casper,4.0,4.0,8.0
roguehunter15,RogueHunter,3.0,5.0,8.0
tushar07019,,2.0,6.0,8.0
slidemaster0547,Slide Master,2.0,6.0,8.0
gooffyluffyy,Luffy,1.0,7.0,8.0
max._.caulfield,Max,6.0,1.0,7.0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,3.0,4.0,7.0
hungry_wolf,HungrY_WolF,3.0,4.0,7.0
vahgar,Allen The Alien,2.0,5.0,7.0
astrobot_7,PS_USER,0.0,7.0,7.0
ind_mafia_sahil,IND_Mafia_Sahil,3.0,3.0,6.0
reflekt_11,Reflekt,0.0,6.0,6.0
sriprakash,Sri Prakash,0.0,6.0,6.0
ashmrth,Ashmrth,4.0,1.0,5.0
darkwolf_newbie,Darkwolf,1.0,4.0,5.0
croco_boya,Croco,1.0,4.0,5.0
rishavmaiti,rishavmaiti,1.0,4.0,5.0
vader8726,vader,3.0,1.0,4.0
pkmkb6011,Sunny Paaji,2.0,2.0,4.0
the_mizer,DrVimp,1.0,3.0,4.0
fezvaz,Vaz,1.0,3.0,4.0
dag_21,daggr,0.0,4.0,4.0
elprofesor6338,Èl Profesor™,0.0,4.0,4.0
csharp21,CSharp,0.0,4.0,4.0
gladiator30,Gladiator,1.0,2.0,3.0
emptycases,J,0.0,3.0,3.0
gane_sh,Gane_sh,0.0,3.0,3.0
iamthathit,IamthatHit,0.0,3.0,3.0
asterayah,Zarathon,2.0,0.0,2.0
nullpixel96,Nullpixel96,2.0,0.0,2.0
1nv1nc1b1e18,Him.,2.0,0.0,2.0
insane_dwane,Insane_Dwane,2.0,0.0,2.0
bigshikki,BigShik,2.0,0.0,2.0
fawaz4413,,1.0,1.0,2.0
cdgamers14,cdgamers😎,0.0,2.0,2.0
aayush1965070,Aayush196,1.0,0.0,1.0
amangoyal,Aman,1.0,0.0,1.0
dudhwalaop69,DudhWalaOP,1.0,0.0,1.0
itsdomtoretto,Dom,1.0,0.0,1.0
jayzus01,Jayan,1.0,0.0,1.0
singh84,Singh,1.0,0.0,1.0
light083969,Light,1.0,0.0,1.0
shieldofachielles,shield of Achielles,1.0,0.0,1.0
garageembark,DEFALT,0.0,1.0,1.0
sayaks05,Cold_fart10,0.0,1.0,1.0
speedsterjk,SpeedsterJK,0.0,1.0,1.0
lelouch1806,lelouch,0.0,1.0,1.0
liv4sid,Sid,0.0,1.0,1.0
.selmonbhai,Tanjiro kamado,0.0,0.0,0.0
aakashmangla,Babu Bhaiya,0.0,0.0,0.0
d3vilbring3r,d3vilbring3r,0.0,0.0,0.0
jubilant_chipmunk_76062,,0.0,0.0,0.0
mrj619,MrJ619,0.0,0.0,0.0
rithick_devaraj,rithick_devaraj,0.0,0.0,0.0
nftprofessor,NFTProfessor,0.0,0.0,0.0
sauzz,Sauzz,0.0,0.0,0.0
riq9634,Riq,0.0,0.0,0.0
gamerpradosh,Gamer Pradosh,0.0,0.0,0.0
drunk6202,DRUNK GAMBLER 🍻,0.0,0.0,0.0
ffirsty,FIRSTY,0.0,0.0,0.0
weezyf.baby_,WEEZY F. Baby,0.0,0.0,0.0
_simplet0n,ZePHyR,0.0,0.0,0.0
colac07,Colac,0.0,0.0,0.0
kakashi019805,Kakashi,0.0,0.0,0.0
fullmetal77,FullMetal77,0.0,0.0,0.0
